flag	content
$COMMA	<C>
$QUOTATION	<Q>
$QUOTATION_LEFT	<LQ>
$QUOTATION_RIGHT	<RQ>
$NEWLINE	<N>
$TAB	<T>
$VAR_EXAMPLE	<X>
$INSTRUCTIONS	Klik sebuah bendera untuk memuat teks dari bahasa tersebut.<N>Beberapa file memang hilang secara sengaja dari bahasa-bahasa lainnya.<N> Ini untuk menunjukan fitur <LQ>cek file yang tidak ditemukan<RQ>.
$HELLO_WORLD	Halo, Dunia!
$TEST_STRING	Ibu saya menggunakan lift untuk pergi ke departmen pertahanan.
$MISSING_FLAGS	<X> bendera lokalisasi tidak ditemukan:
$MISSING_FILES	<X> file lokaslisasi tidak ditemukan:
$ANOTHER_STRING	string lain
$MORE_STRINGS	string lebih
$LOOK_MORE_STRINGS	lihat, lebih banyak string lainnya!
$ABBREVIATION_NOT_AVAILABLE	T/A
$ABBREVIATION_NOT_A_NUMBER	BsA
$PIECE_IS_BETA	(BETA)
$PIECE_WITH	dengan
$SPLASH_SLOGAN	Sebuah modifikasi Friday Night Funkin'
$DISCLAIMER_WARNING	Friday Night Funkin' dan seluruh franchise-nya dibuat BUKAN untuk anak kecil. Anak2 telah dilarang menggunakan software ini beserta turunan2nya.<N>Mengandung kata2 kasar & unsur2 tidak pantas lainnya<N>Kebijaksanaan permainan disarankan.
$SPLASH_BIOS_BUTTON	Tekan ESCAPE / SELECT di stik 'tuk pergi ke setelan BIOS
$SPLASH_BIOS_SETTING	Pengaturan BIOS
$SPLASH_WELCOME	Selamat datang di Last Funkin Moments!
$SPLASH_TOAST_TITLE	Cool and good
$SPLASH_TOAST_Description	Selamat datang di Last Funkin Moments<N> Kontraktua Majoris saat ini<N> (2 dr 3): Sky<C> Whitty
$INTRO_TEXT_0	intro ini
$INTRO_TEXT_1	dalam b indo
$OPTIONS_SELECT_LANGUAGE	Bahasa 🌐
$OPTIONS_SELECT_LANGUAGE_DESCRIPTION	Pilih Bahasa Anda
$OPTIONS_DOOM_MELT	Melting Screen Transition
$OPTIONS_DOOM_MELT_DESCRIPTION	<RE>[$PIECE_IS_BETA] Gunakan efek layar meleleh ala Doom saat berganti State
$OPTIONS_KADE_MUSIC	Musik Menu Utama
$OPTIONS_KADE_MUSIC_DESCRIPTION	Pilih musik mana yang akan dimainkan saat akan dimainkan lagi
$OPTIONS_KADE_MUSIC_OPT_0	Default
$OPTIONS_KADE_MUSIC_OPT_1	Kade Engine
$OPTIONS_LOG_LEVEL	Tingkat Log
$OPTIONS_LOG_LEVEL_DESCRIPTION	Berapa jenis tingkat pencatatan yang dapat muncul di konsol? TRACE berarti semuanya
$GAMEPLAY	Permainan
$GAMEPLAY_BLINK_TEXT_BOTPLAY	OTOMATIS
$GAMEPLAY_BLINK_TEXT_REPLAY	REKAMAN
$GAMEPLAY_HUD_TEXT_COMBO	Kombo
$GAMEPLAY_HUD_TEXT_MAXCOMBO	Kombo Tertinggi
$GAMEPLAY_JUDGEMENT_COUNTING_MISS	Meleset
$GAMEPLAY_JUDGEMENT_COUNTING_ALMOST	Cemen
$GAMEPLAY_JUDGEMENT_COUNTING_BAD	Jelek
$GAMEPLAY_JUDGEMENT_COUNTING_GOOD	Bagus
$GAMEPLAY_JUDGEMENT_COUNTING_GREAT	Hebat
$GAMEPLAY_JUDGEMENT_COUNTING_PERFECT	Gokil
$GAMEPLAY_JUDGEMENT_COUNTING_FLAWLESS	Anjay
$GAMEPLAY_JUDGEMENT_COUNTING_LUDICROUS	Jagoan
$GAMEPLAY_ACCURACY_MODE	Modus Akurasi
$GAMEPLAY_ACCURACY_MODE_OPTION_NONE	Nihil
$GAMEPLAY_ACCURACY_MODE_OPTION_SIMPLE	Simpel
$GAMEPLAY_ACCURACY_MODE_OPTION_ACCURATE	Akurat
$GAMEPLAY_ACCURACY_MODE_OPTION_COMPLEX	Kompleks
$GAMEPLAY_RESULT	Hasil
$GAMEPLAY_RESULT_LETTER_RANKING	Ranking Huruf
$GAMEPLAY_RESULT_LETTER_RANKING_SUCK	Cupu lu, awowkwowkwowkw
$GAMEPLAY_RESULT_LETTER_RANKING_BOTPLAY	OTOMATIS
$GAMEPLAY_RESULT_LETTER_RANKING_BOTPLAY	LATIHAN
$GAMEPLAY_RANKING_BAR	Batang Ranking
$GAMEPLAY_RANKING_BAR_COMBO_BREAKS	Kombo Pecah
$GAMEPLAY_RANKING_BAR_AVERAGE	Rata-Rata
$GAMEPLAY_RANKING_BAR_ACCURACY	Akurasi
$GAMEPLAY_RANKING_BAR_PRACTICE	LATIHAN
$GAMEPLAY_PRESS_SPACE_TO_SKIP_INTRO	Tekan SPASI untuk lewati Intro
$GAMEPLAY_DIFFICULTY_NOVICE	Cemen
$GAMEPLAY_DIFFICULTY_EASY	Gampang
$GAMEPLAY_DIFFICULTY_MEDIUM	Biasa
$GAMEPLAY_DIFFICULTY_HARD	Susah
$GAMEPLAY_DIFFICULTY_INSANE	Ahli
$GAMEPLAY_DIFFICULTY_IMPOSSIBLE	Ngaceng
$LOADING_NOW_LOADING	Sedang Memuat
$LOADING_JUST_LOADING	Memuat
$PAUSE_MENU	Menu Tunda
$PAUSE_MENU_RESUME	lanjutkan
$PAUSE_MENU_RESTART_SONG	ulangi lagu
$PAUSE_MENU_EXIT_TO_MENU	keluar ke menu
$TITLE_PRESENTS	mempersembahkan
$TITLE_ARE_WE_PARTNERED	apakah kami bekerjasama
$TITLE_ARE_WE_PARTNERED_WITH	<RE>[$PIECE_WITH]
$TITLE_PRODUCT_BY	oleh
$TITLE_IN_PARTNERSHIP	Bekerja sama
$TITLE_IN_PARTNERSHIP_WITH	<RE>[$PIECE_WITH]
$DIALOGUE_PRESS_BACK_TO_SKIP	tekan KEMBALI utk lewati
$DIALOGUE_BUTTON_SKIP	Lewati
